date,cpi,access_date
2050-01-01,109.6,2021-05-01
2050-02-01,104.7,2021-05-01
2050-03-01,123,2021-05-01
2050-04-01,114.4,2021-05-01
2050-05-01,124.8,2021-05-01
2050-06-01,102.1,2021-05-01
2050-07-01,93,2021-05-01
2050-08-01,98,2021-05-01
2050-09-01,116.6,2021-05-01
2050-10-01,102.7,2021-05-01
2050-11-01,111.7,2021-05-01
2050-12-01,106.9,2021-05-01
2051-01-01,106.1,2021-05-01
2051-02-01,102.5,2021-05-01
2051-03-01,105.2,2021-05-01
2051-04-01,89.9,2021-05-01
2051-05-01,112.5,2021-05-01
2051-06-01,111.6,2021-05-01
2051-07-01,101.8,2021-05-01
2051-08-01,90.6,2021-05-01
2051-09-01,104.1,2021-05-01
2051-10-01,104.3,2021-05-01
2051-11-01,107.8,2021-05-01
2051-12-01,102.9,2021-05-01
2052-01-01,104.9,2021-05-01
2052-02-01,104.6,2021-05-01
2052-03-01,104.6,2021-05-01
2052-04-01,106.8,2021-05-01
2052-05-01,111,2021-05-01
2052-06-01,110.7,2021-05-01
2052-07-01,97.3,2021-05-01
2052-08-01,83.3,2021-05-01
2052-09-01,105.8,2021-05-01
2052-10-01,102.3,2021-05-01
2052-11-01,109.6,2021-05-01
2052-12-01,104.4,2021-05-01
2053-01-01,104.4,2021-05-01
2053-02-01,101.7,2021-05-01
2053-03-01,102.8,2021-05-01
2053-04-01,100.2,2021-05-01
2053-05-01,111.7,2021-05-01
2053-06-01,101.9,2021-05-01
2053-07-01,102.4,2021-05-01
2053-08-01,82.7,2021-05-01
2053-09-01,105.4,2021-05-01
2053-10-01,104.3,2021-05-01
2053-11-01,102.9,2021-05-01
2053-12-01,100.1,2021-05-01
2054-01-01,91.8,2021-05-01
2054-02-01,101.6,2021-05-01
2054-03-01,88,2021-05-01
2054-04-01,87.8,2021-05-01
2054-05-01,95.4,2021-05-01
2054-06-01,86.2,2021-05-01
2054-07-01,72.2,2021-05-01
2054-08-01,69.9,2021-05-01
2054-09-01,82.5,2021-05-01
2054-10-01,102.4,2021-05-01
2054-11-01,90.6,2021-05-01
2054-12-01,99.4,2021-05-01
2055-01-01,95.1,2021-05-01
2055-02-01,101.1,2021-05-01
2055-03-01,88.7,2021-05-01
2055-04-01,91.7,2021-05-01
2055-05-01,102.7,2021-05-01
2055-06-01,101.4,2021-05-01
2055-07-01,93.5,2021-05-01
2055-08-01,73.3,2021-05-01
2055-09-01,94.2,2021-05-01
